MES,DEPARTAMENTO,AEROPUERTO,ALTAMAR,BODEGAS Y SIMILARES,BOSQUES,CARRETERA,CASAS DE HABITACION,CONSTRUCCION,EMPRESA,FINCAS Y SIMILARES,LABORATORIO DE BASE,LABORATORIO DE CRISTALIZACION,LOTE BALDIO,MUELLE,OFICINAS,PARQUEADERO,PARQUES,PEAJE,PUERTO,PUESTO DE CONTROL,RIOS,TALLERES MECANICA,TRAMO DE VIA,VIAS PUBLICAS,ZONA SELVÁTICA
Apr,AMAZONAS,,,,,,,,,,,,,,,,,,,,,,,,2.0
Apr,ANTIOQUIA,,,,,,,,,,5.0,,,,,,,,,,,,,,
Apr,ARAUCA,,,,,,,,,,,,,,,,,,,,,,,2.0,
Apr,ATLÁNTICO,,,,,,,,,,,,,,,,,,1.0,,,,,,
Apr,BOLÍVAR,,,,,,3.0,,,,,,,,,,,,,,,,,16.0,
Apr,CALDAS,,,,,,2.0,,,,,,,,,,,,,,,,,,
Apr,CAUCA,,,,,,,,,,2.0,,,,,,,,,,,,,,
Apr,CUNDINAMARCA,,,,,,,,,,,,,,,,,,,,,,,1.0,
Apr,GUAINÍA,,,,2.0,,,,,,,,,,,,,,,,,,,,
Apr,GUAJIRA,,1.0,,,,7.0,,,,,,,,,,,,,,,,,,
Apr,MAGDALENA,,,,,,,,,,,,,,,,,,,,,,,16.0,
Apr,NARIÑO,,,,,,,,,,,,,,,,,,,1.0,,,,,
Apr,PUTUMAYO,,,,,,,,,,13.0,1.0,,,,,,,,,,,,,
Apr,QUINDÍO,,,,,,,,,,,,,,,,,,,,,,5.0,,
Apr,RISARALDA,,,,,12.0,,,,,,,,,,,,,,,,,,,
Apr,SANTANDER,,,,,,,,,,,,,,,,,,,,,,6.0,29.0,
Apr,SUCRE,,,,,,,,,,,,,,,1.0,,,,,,,,,
Apr,TOLIMA,,,,,3.0,,,,,,,,,,,,,,,,,,,
Apr,VALLE,,,,,,,,,,,,,,,,,,4.0,,,,,,
Feb,ANTIOQUIA,,,,,,,,,,,,,,,,,,,,,,,835.0,
Feb,ARAUCA,,,,,,,,,,,,,,,,,,,,,,,2.0,
Feb,ATLÁNTICO,,,,,,,,,,,,,,,,,,,,,,,60.0,
Feb,CAQUETÁ,,,,,,,,,,,,,,,,,,,,,,,2.0,
Feb,CASANARE,,,,,,,,,,,,,,,,,,,,,,,18.0,
Feb,CAUCA,,,,,2.0,,,,,,,,,,,,,,,,,,,
Feb,CUNDINAMARCA,,,,,,,,,,,,,,1.0,,,,,,,,,379.0,
Feb,CÓRDOBA,,,,,,,,,,1.0,,,,,,,,,,,,,,
Feb,GUAINÍA,,,,,,,,,,,,,,,,1.0,,,,,,,,
Feb,GUAVIARE,,,,,,,,,,3.0,,,,,,,,,,,,,,
Feb,META,,,,,,3.0,,,,4.0,,,,,,,,,,,,1.0,,
Feb,NARIÑO,,,,,,,,,,,,,,,,,,,6.0,,,,,
Feb,NORTE DE SANTANDER,,,,,7.0,,,,,,,,,,,,,,,,,,,
Feb,PUTUMAYO,,,,,,,,,,,,1.0,,,,,,,,,,,,
Feb,QUINDÍO,,,,,,,,,,,,,,,,,,,,,,1.0,,
Feb,SAN ANDRÉS,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,
Feb,VALLE,,,,,,,,,,,,,,,,,,,,,,,11.0,
Feb,VICHADA,,,,,,,,,,,,,,,,,,,,,,,3.0,
Jan,ATLÁNTICO,,,,,,,,,,,,,,,,,,,,,,,2.0,
Jan,BOYACÁ,,,,,,,,,,,,,,,,,,,,,,1.0,,
Jan,CASANARE,,,,,,,,,,,1.0,,,,,,,,,,,,,
Jan,CESAR,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,
Jan,CHOCÓ,,1.0,,,,,,,,,,,,,,,,,,,,,4.0,2.0
Jan,GUAJIRA,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,
Jan,HUILA,,,,,,,,,,,,,,,,,,,,,,,50.0,
Jan,MAGDALENA,,,,,,,,,,,,,,,,,,,,,,1.0,,
Jan,NARIÑO,,10.0,,,,,,,,,,,,,,,,,,,,,,
Jan,PUTUMAYO,,,,,,,,,,,,,,,,,,,,,,,8.0,
Jan,QUINDÍO,,,,,,,,,,,,,,,,,,,,,,8.0,,
Jan,RISARALDA,,,,,,,,2.0,,,,,,,,,,,,,,,,
Jan,SUCRE,,,,,,,,,,,,,,,,,,,,,,,15.0,
Jun,AMAZONAS,1.0,,,,,,,,,,,,,,,,,,,,,,,
Jun,ARAUCA,,,,,,,,,,,,,,,,,,,,,,,7.0,
Jun,BOLÍVAR,,,,,,,,,,,,,,,,,,,,,,,41.0,
Jun,BOYACÁ,,,,,,,,,,,,,,,,,,,,,,8.0,,
Jun,CALDAS,,,,,,,,,,,,,,,,,,,,,1.0,,,
Jun,CAQUETÁ,,,,,,,,,,,,,,,,,,,,,,,7.0,
Jun,CAUCA,,,,,,,,,,,,,,,,,,,,,,,35.0,
Jun,GUAINÍA,,,,,,1.0,,,,,,,,,,,,,,,,,,
Jun,GUAJIRA,,,,,,,,,,,,,,,,,,,,,,,4.0,
Jun,GUAVIARE,,,,,,,,,,,,,,,,,,,,,,,1.0,
Jun,HUILA,,,,,,,,,,,,,,,,,,,,,,2.0,,
Jun,MAGDALENA,,,,,,,1.0,,,,,,,,,,,,,,,,,
Jun,NORTE DE SANTANDER,,,,,,,,,,,,,,,,,,,,,,,9.0,
Jun,RISARALDA,,,,,,,,,,,,,,,,,,,1.0,,,,,
Jun,SAN ANDRÉS,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,
Jun,SANTANDER,,,,,3.0,,,,,,,,,,,,,,,,,,,
Jun,SUCRE,,,,,,,,,,,,,,,,,,,,,,,11.0,
Jun,TOLIMA,,,,,6.0,,,,,,,,,,,,,,,,,,,
Jun,VALLE,,,,,,,,,,,,,,,,,,,,,,,92.0,
Jun,VAUPÉS,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,
Mar,AMAZONAS,,,,,,,,,,,,,,,,,,,,5.0,,,,
Mar,ANTIOQUIA,,,,,,,,,,,,,1.0,,,,,,,,,,,
Mar,ARAUCA,,,,,,,,,,,,,,,,,,,,,,,1.0,
Mar,ATLÁNTICO,,,,,,,,,,,,,,,,,,,,,,,54.0,
Mar,BOLÍVAR,,,,,1.0,,,,,,,,,,,,,,,,,,,
Mar,BOYACÁ,,,,,,1.0,,,,,,,,,,,,,,,,,,
Mar,CALDAS,,,,,1.0,,,,,,,,,,,,,,,,,,,
Mar,CAQUETÁ,,,,,,,,,,,,,,,,,,,2.0,,,,,
Mar,CASANARE,,,,,,,,,,,,,,,,,,,,,,,3.0,
Mar,CAUCA,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,
Mar,CESAR,,,,,6.0,,,,,,,,,,,,,,,,,,,
Mar,CÓRDOBA,,,,,,,,,,,,,,,,,,,,,,2.0,,
Mar,GUAINÍA,,,,,,,,,,,,,,,,,,,,,,,1.0,
Mar,GUAVIARE,,,,,,,,,,,,,,,,,,,1.0,,,,7.0,
Mar,HUILA,,,,,,,,,,,,,,,,,,,,,,2.0,,
Mar,MAGDALENA,,,,,2.0,,,,,,,,,,,,,,,,,,,
Mar,META,,,,,,,,,,,2.0,,,,,,,,,,,,,
Mar,NARIÑO,,,,,,,,,,,1.0,,,,,,,,,,,,,
Mar,NORTE DE SANTANDER,,,,,,,,,,,5.0,,,,,,,,,,,,,1.0
Mar,SANTANDER,,,,,3.0,,,,,,,,,,,,,,,,,,,
Mar,TOLIMA,,,,,4.0,,,,,,,,,,,,,,,,,,37.0,
Mar,VALLE,,,,,42.0,,,,,,,,,,,,,,,,,,,
Mar,VICHADA,,,,,,,,,,,,,,,,,,,,,,,2.0,
May,ANTIOQUIA,1.0,,,,,,,,,,,,,,,,,,,,,15.0,,
May,ARAUCA,,,,,,,,,,,,,,,,,,,,,,,2.0,
May,CALDAS,,,,,6.0,,,,,,,,,,,,,,,,,,81.0,
May,CESAR,,,,,38.0,,,,,,,,,,,,,,,,,,,
May,CÓRDOBA,,,,,,1.0,,,,,,,,,,,,,,,,,28.0,
May,HUILA,,,,,,,,,,,,,,,,,,,,,,1.0,,
May,MAGDALENA,,,,,,,,,,,,,,,,,,,,,,,6.0,
May,META,,,,,,,,,,,,,,,,,,,,,,,34.0,
May,NARIÑO,,,,,,,,,,,,,,,,,,,,,,,2.0,
May,SUCRE,,,,,,,,,,,,,,,,,,,,,,,31.0,
May,VALLE,,,,,9.0,,,,,,,,,,,,,,,,,,,
May,VAUPÉS,,,,,,,,,,,,,,,,,,,,,,,4.0,
May,VICHADA,,,,,,,,,,,,,,,,,,,,,,,5.0,
